  Frequency            , V(Ve)/ I(C1)         
  1.169499391020e+00  ,1.459788133139e+05  
  1.172195365548e+00  ,1.456870423064e+05  
  1.174897554940e+00  ,1.453960301315e+05  
  1.177605973521e+00  ,1.451057751658e+05  
  1.180320635652e+00  ,1.448162757868e+05  
  1.183041555725e+00  ,1.445275303777e+05  
  1.185768748167e+00  ,1.442395373247e+05  
  1.188502227437e+00  ,1.439522950171e+05  
  1.191242008027e+00  ,1.436658018483e+05  
  1.193988104464e+00  ,1.433800562142e+05  
  1.196740531307e+00  ,1.430950565155e+05  
  1.199499303149e+00  ,1.428108011566e+05  
  1.202264434617e+00  ,1.425272885429e+05  
  1.205035940372e+00  ,1.422445170867e+05  
  1.207813835107e+00  ,1.419624852007e+05  
  1.210598133550e+00  ,1.416811913032e+05  
  1.213388850465e+00  ,1.414006338149e+05  
  1.216186000646e+00  ,1.411208111608e+05  
  1.218989598925e+00  ,1.408417217678e+05  
  1.221799660165e+00  ,1.405633640677e+05  
  1.224616199265e+00  ,1.402857364954e+05  
  1.227439231158e+00  ,1.400088374884e+05  
  1.230268770812e+00  ,1.397326654887e+05  
  1.233104833229e+00  ,1.394572189411e+05  
  1.235947433445e+00  ,1.391824962935e+05  
  1.238796586530e+00  ,1.389084959977e+05  
  1.241652307592e+00  ,1.386352165082e+05  
  1.244514611771e+00  ,1.383626562834e+05  
  1.247383514243e+00  ,1.380908137851e+05  
  1.250259030218e+00  ,1.378196874780e+05  
  1.253141174941e+00  ,1.375492758310e+05  
  1.256029963695e+00  ,1.372795773143e+05  
  1.258925411794e+00  ,1.370105904036e+05  
  1.261827534591e+00  ,1.367423135766e+05  
  1.264736347471e+00  ,1.364747453140e+05  
  1.267651865858e+00  ,1.362078841021e+05  
  1.270574105209e+00  ,1.359417284269e+05  
  1.273503081017e+00  ,1.356762767806e+05  
  1.276438808811e+00  ,1.354115276569e+05  
  1.279381304158e+00  ,1.351474795533e+05  
  1.282330582656e+00  ,1.348841309704e+05  
  1.285286659944e+00  ,1.346214804129e+05  
  1.288249551693e+00  ,1.343595263871e+05  
  1.291219273614e+00  ,1.340982674032e+05  
  1.294195841450e+00  ,1.338377019751e+05  
  1.297179270984e+00  ,1.335778286187e+05  
  1.300169578033e+00  ,1.333186458545e+05  
  1.303166778452e+00  ,1.330601522049e+05  
  1.306170888132e+00  ,1.328023461959e+05  
  1.309181922999e+00  ,1.325452263569e+05  
  1.312199899019e+00  ,1.322887912197e+05  
  1.315224832192e+00  ,1.320330393197e+05  
  1.318256738556e+00  ,1.317779691956e+05  
  1.321295634187e+00  ,1.315235793887e+05  
  1.324341535195e+00  ,1.312698684432e+05  
  1.327394457730e+00  ,1.310168349069e+05  
  1.330454417978e+00  ,1.307644773306e+05  
  1.333521432163e+00  ,1.305127942683e+05  
  1.336595516546e+00  ,1.302617842760e+05  
  1.339676687426e+00  ,1.300114459137e+05  
  1.342764961138e+00  ,1.297617777442e+05  
  1.345860354056e+00  ,1.295127783329e+05  
  1.348962882592e+00  ,1.292644462492e+05  
  1.352072563194e+00  ,1.290167800645e+05  
  1.355189412351e+00  ,1.287697783531e+05  
  1.358313446587e+00  ,1.285234396937e+05  
  1.361444682466e+00  ,1.282777626660e+05  
  1.364583136589e+00  ,1.280327458536e+05  
  1.367728825596e+00  ,1.277883878433e+05  
  1.370881766165e+00  ,1.275446872239e+05  
  1.374041975013e+00  ,1.273016425887e+05  
  1.377209468894e+00  ,1.270592525324e+05  
  1.380384264603e+00  ,1.268175156528e+05  
  1.383566378972e+00  ,1.265764305516e+05  
  1.386755828872e+00  ,1.263359958323e+05  
  1.389952631213e+00  ,1.260962101014e+05  
  1.393156802945e+00  ,1.258570719691e+05  
  1.396368361056e+00  ,1.256185800476e+05  
  1.399587322573e+00  ,1.253807329524e+05  
  1.402813704562e+00  ,1.251435293012e+05  
  1.406047524130e+00  ,1.249069677151e+05  
  1.409288798422e+00  ,1.246710468179e+05  
  1.412537544623e+00  ,1.244357652365e+05  
  1.415793779957e+00  ,1.242011215997e+05  
  1.419057521689e+00  ,1.239671145407e+05  
  1.422328787123e+00  ,1.237337426933e+05  
  1.425607593602e+00  ,1.235010046951e+05  
  1.428893958511e+00  ,1.232688991879e+05  
  1.432187899274e+00  ,1.230374248133e+05  
  1.435489433354e+00  ,1.228065802187e+05  
  1.438798578256e+00  ,1.225763640514e+05  
  1.442115351525e+00  ,1.223467749642e+05  
  1.445439770746e+00  ,1.221178116099e+05  
  1.448771853545e+00  ,1.218894726464e+05  
  1.452111617588e+00  ,1.216617567323e+05  
  1.455459080582e+00  ,1.214346625302e+05  
  1.458814260275e+00  ,1.212081887054e+05  
  1.462177174457e+00  ,1.209823339250e+05  
  1.465547840956e+00  ,1.207570968587e+05  
  1.468926277644e+00  ,1.205324761801e+05  
  1.472312502433e+00  ,1.203084705641e+05  
  1.475706533276e+00  ,1.200850786901e+05  
  1.479108388168e+00  ,1.198622992373e+05  
  1.482518085146e+00  ,1.196401308894e+05  
  1.485935642287e+00  ,1.194185723322e+05  
  1.489361077711e+00  ,1.191976222550e+05  
  1.492794409579e+00  ,1.189772793489e+05  
  1.496235656094e+00  ,1.187575423068e+05  
  1.499684835502e+00  ,1.185384098259e+05  
  1.503141966090e+00  ,1.183198806042e+05  
  1.506607066187e+00  ,1.181019533438e+05  
  1.510080154164e+00  ,1.178846267479e+05  
  1.513561248436e+00  ,1.176678995236e+05  
  1.517050367459e+00  ,1.174517703797e+05  
  1.520547529732e+00  ,1.172362380274e+05  
  1.524052753797e+00  ,1.170213011820e+05  
  1.527566058238e+00  ,1.168069585586e+05  
  1.531087461682e+00  ,1.165932088766e+05  
  1.534616982799e+00  ,1.163800508576e+05  
  1.538154640303e+00  ,1.161674832256e+05  
  1.541700452950e+00  ,1.159555047071e+05  
  1.545254439538e+00  ,1.157441140310e+05  
  1.548816618912e+00  ,1.155333099288e+05  
  1.552387009958e+00  ,1.153230911340e+05  
  1.555965631605e+00  ,1.151134563828e+05  
  1.559552502827e+00  ,1.149044044138e+05  
  1.563147642641e+00  ,1.146959339687e+05  
  1.566751070108e+00  ,1.144880437899e+05  
  1.570362804334e+00  ,1.142807326244e+05  
  1.573982864466e+00  ,1.140739992197e+05  
  1.577611269699e+00  ,1.138678423268e+05  
  1.581248039270e+00  ,1.136622606987e+05  
  1.584893192461e+00  ,1.134572530901e+05  
  1.588546748598e+00  ,1.132528182601e+05  
  1.592208727051e+00  ,1.130489549677e+05  
  1.595879147237e+00  ,1.128456619752e+05  
  1.599558028615e+00  ,1.126429380485e+05  
  1.603245390690e+00  ,1.124407819539e+05  
  1.606941253013e+00  ,1.122391924603e+05  
  1.610645635178e+00  ,1.120381683404e+05  
  1.614358556826e+00  ,1.118377083677e+05  
  1.618080037643e+00  ,1.116378113186e+05  
  1.621810097359e+00  ,1.114384759720e+05  
  1.625548755750e+00  ,1.112397011083e+05  
  1.629296032640e+00  ,1.110414855106e+05  
  1.633051947894e+00  ,1.108438279646e+05  
  1.636816521428e+00  ,1.106467272583e+05  
  1.640589773200e+00  ,1.104501821803e+05  
  1.644371723215e+00  ,1.102541915243e+05  
  1.648162391525e+00  ,1.100587540830e+05  
  1.651961798229e+00  ,1.098638686542e+05  
  1.655769963470e+00  ,1.096695340366e+05  
  1.659586907438e+00  ,1.094757490309e+05  
  1.663412650370e+00  ,1.092825124403e+05  
  1.667247212551e+00  ,1.090898230699e+05  
  1.671090614311e+00  ,1.088976797279e+05  
  1.674942876026e+00  ,1.087060812228e+05  
  1.678804018123e+00  ,1.085150263679e+05  
  1.682674061070e+00  ,1.083245139771e+05  
  1.686553025389e+00  ,1.081345428658e+05  
  1.690440931643e+00  ,1.079451118522e+05  
  1.694337800447e+00  ,1.077562197581e+05  
  1.698243652462e+00  ,1.075678654048e+05  
  1.702158508395e+00  ,1.073800476177e+05  
  1.706082389003e+00  ,1.071927652236e+05  
  1.710015315090e+00  ,1.070060170507e+05  
  1.713957307508e+00  ,1.068198019316e+05  
  1.717908387158e+00  ,1.066341186976e+05  
  1.721868574986e+00  ,1.064489661855e+05  
  1.725837891990e+00  ,1.062643432311e+05  
  1.729816359215e+00  ,1.060802486747e+05  
  1.733803997754e+00  ,1.058966813576e+05  
  1.737800828749e+00  ,1.057136401235e+05  
  1.741806873392e+00  ,1.055311238169e+05  
  1.745822152920e+00  ,1.053491312867e+05  
  1.749846688625e+00  ,1.051676613812e+05  
  1.753880501842e+00  ,1.049867129531e+05  
  1.757923613959e+00  ,1.048062848550e+05  
  1.761976046412e+00  ,1.046263759434e+05  
  1.766037820686e+00  ,1.044469850751e+05  
  1.770108958317e+00  ,1.042681111107e+05  
  1.774189480890e+00  ,1.040897529108e+05  
  1.778279410039e+00  ,1.039119093391e+05  
  1.782378767448e+00  ,1.037345792624e+05  
  1.786487574852e+00  ,1.035577615469e+05  
  1.790605854035e+00  ,1.033814550626e+05  
  1.794733626833e+00  ,1.032056586810e+05  
  1.798870915129e+00  ,1.030303712753e+05  
  1.803017740860e+00  ,1.028555917204e+05  
  1.807174126011e+00  ,1.026813188940e+05  
  1.811340092620e+00  ,1.025075516758e+05  
  1.815515662773e+00  ,1.023342889461e+05  
  1.819700858610e+00  ,1.021615295876e+05  
  1.823895702320e+00  ,1.019892724865e+05  
  1.828100216143e+00  ,1.018175165282e+05  
  1.832314422371e+00  ,1.016462606027e+05  
  1.836538343348e+00  ,1.014755035997e+05  
  1.840772001469e+00  ,1.013052444117e+05  
  1.845015419179e+00  ,1.011354819329e+05  
  1.849268618978e+00  ,1.009662150601e+05  
  1.853531623415e+00  ,1.007974426909e+05  
  1.857804455092e+00  ,1.006291637252e+05  
  1.862087136663e+00  ,1.004613770651e+05  
  1.866379690835e+00  ,1.002940816133e+05  
  1.870682140366e+00  ,1.001272762763e+05  
  1.874994508067e+00  ,9.996095996051e+04  
  1.879316816803e+00  ,9.979513157467e+04  
  1.883649089490e+00  ,9.962979003089e+04  
  1.887991349096e+00  ,9.946493424092e+04  
  1.892343618645e+00  ,9.930056311923e+04  
  1.896705921211e+00  ,9.913667558211e+04  
  1.901078279923e+00  ,9.897327054795e+04  
  1.905460717963e+00  ,9.881034693660e+04  
  1.909853258566e+00  ,9.864790366873e+04  
  1.914255925021e+00  ,9.848593966839e+04  
  1.918668740670e+00  ,9.832445386074e+04  
  1.923091728910e+00  ,9.816344517271e+04  
  1.927524913191e+00  ,9.800291253265e+04  
  1.931968317017e+00  ,9.784285487003e+04  
  1.936421963947e+00  ,9.768327111828e+04  
  1.940885877593e+00  ,9.752416021067e+04  
  1.945360081623e+00  ,9.736552108282e+04  
  1.949844599758e+00  ,9.720735267241e+04  
  1.954339455775e+00  ,9.704965391752e+04  
  1.958844673506e+00  ,9.689242375926e+04  
  1.963360276836e+00  ,9.673566113911e+04  
