  Frequency            , dB( V(Vs4)/ V(Ve))   
  1.336595516546e+00  ,-7.453472863168e+01  
  1.339676687426e+00  ,-7.444146465300e+01  
  1.342764961138e+00  ,-7.434822649065e+01  
  1.345860354056e+00  ,-7.425501422313e+01  
  1.348962882592e+00  ,-7.416182792922e+01  
  1.352072563194e+00  ,-7.406866768751e+01  
  1.355189412351e+00  ,-7.397553357746e+01  
  1.358313446587e+00  ,-7.388242567752e+01  
  1.361444682466e+00  ,-7.378934406705e+01  
  1.364583136589e+00  ,-7.369628882543e+01  
  1.367728825596e+00  ,-7.360326003137e+01  
  1.370881766165e+00  ,-7.351025776474e+01  
  1.374041975013e+00  ,-7.341728210444e+01  
  1.377209468894e+00  ,-7.332433313006e+01  
  1.380384264603e+00  ,-7.323141092135e+01  
  1.383566378972e+00  ,-7.313851555777e+01  
  1.386755828872e+00  ,-7.304564711885e+01  
  1.389952631213e+00  ,-7.295280568484e+01  
  1.393156802945e+00  ,-7.285999133484e+01  
  1.396368361056e+00  ,-7.276720414918e+01  
  1.399587322573e+00  ,-7.267444420777e+01  
  1.402813704562e+00  ,-7.258171159062e+01  
  1.406047524130e+00  ,-7.248900637757e+01  
  1.409288798422e+00  ,-7.239632864899e+01  
  1.412537544623e+00  ,-7.230367848506e+01  
  1.415793779957e+00  ,-7.221105596591e+01  
  1.419057521689e+00  ,-7.211846117175e+01  
  1.422328787123e+00  ,-7.202589418309e+01  
  1.425607593602e+00  ,-7.193335508050e+01  
  1.428893958511e+00  ,-7.184084394404e+01  
  1.432187899274e+00  ,-7.174836085472e+01  
  1.435489433354e+00  ,-7.165590589264e+01  
  1.438798578256e+00  ,-7.156347913870e+01  
  1.442115351525e+00  ,-7.147108067351e+01  
  1.445439770746e+00  ,-7.137871057769e+01  
  1.448771853545e+00  ,-7.128636893202e+01  
  1.452111617588e+00  ,-7.119405581741e+01  
  1.455459080582e+00  ,-7.110177131461e+01  
  1.458814260275e+00  ,-7.100951550421e+01  
  1.462177174457e+00  ,-7.091728846753e+01  
  1.465547840956e+00  ,-7.082509028554e+01  
  1.468926277644e+00  ,-7.073292103893e+01  
  1.472312502433e+00  ,-7.064078080887e+01  
  1.475706533276e+00  ,-7.054866967632e+01  
  1.479108388168e+00  ,-7.045658772235e+01  
  1.482518085146e+00  ,-7.036453502825e+01  
  1.485935642287e+00  ,-7.027251167531e+01  
  1.489361077711e+00  ,-7.018051774420e+01  
  1.492794409579e+00  ,-7.008855331629e+01  
  1.496235656094e+00  ,-6.999661847295e+01  
  1.499684835502e+00  ,-6.990471329516e+01  
  1.503141966090e+00  ,-6.981283786439e+01  
  1.506607066187e+00  ,-6.972099226182e+01  
  1.510080154164e+00  ,-6.962917656890e+01  
  1.513561248436e+00  ,-6.953739086659e+01  
  1.517050367459e+00  ,-6.944563523647e+01  
  1.520547529732e+00  ,-6.935390975965e+01  
  1.524052753797e+00  ,-6.926221451755e+01  
  1.527566058238e+00  ,-6.917054959153e+01  
  1.531087461682e+00  ,-6.907891506310e+01  
  1.534616982799e+00  ,-6.898731101333e+01  
  1.538154640303e+00  ,-6.889573752368e+01  
  1.541700452950e+00  ,-6.880419467562e+01  
  1.545254439538e+00  ,-6.871268255037e+01  
  1.548816618912e+00  ,-6.862120122922e+01  
  1.552387009958e+00  ,-6.852975079365e+01  
  1.555965631605e+00  ,-6.843833132498e+01  
  1.559552502827e+00  ,-6.834694290446e+01  
  1.563147642641e+00  ,-6.825558561351e+01  
  1.566751070108e+00  ,-6.816425953348e+01  
