  Frequency            , P( V(Vs4))           
  1.339676687426e+00  ,-1.423709564888e+02  
  1.342764961138e+00  ,-1.424787419883e+02  
  1.345860354056e+00  ,-1.425866986614e+02  
  1.348962882592e+00  ,-1.426948264896e+02  
  1.352072563194e+00  ,-1.428031254527e+02  
  1.355189412351e+00  ,-1.429115955270e+02  
  1.358313446587e+00  ,-1.430202366901e+02  
  1.361444682466e+00  ,-1.431290489154e+02  
  1.364583136589e+00  ,-1.432380321743e+02  
  1.367728825596e+00  ,-1.433471864389e+02  
  1.370881766165e+00  ,-1.434565116765e+02  
  1.374041975013e+00  ,-1.435660078550e+02  
  1.377209468894e+00  ,-1.436756749391e+02  
  1.380384264603e+00  ,-1.437855128916e+02  
  1.383566378972e+00  ,-1.438955216738e+02  
  1.386755828872e+00  ,-1.440057012460e+02  
  1.389952631213e+00  ,-1.441160515641e+02  
  1.393156802945e+00  ,-1.442265725859e+02  
  1.396368361056e+00  ,-1.443372642638e+02  
  1.399587322573e+00  ,-1.444481265501e+02  
  1.402813704562e+00  ,-1.445591593948e+02  
  1.406047524130e+00  ,-1.446703627466e+02  
  1.409288798422e+00  ,-1.447817365510e+02  
  1.412537544623e+00  ,-1.448932807527e+02  
  1.415793779957e+00  ,-1.450049952942e+02  
  1.419057521689e+00  ,-1.451168801166e+02  
  1.422328787123e+00  ,-1.452289351577e+02  
  1.425607593602e+00  ,-1.453411603539e+02  
  1.428893958511e+00  ,-1.454535556410e+02  
  1.432187899274e+00  ,-1.455661209504e+02  
  1.435489433354e+00  ,-1.456788562144e+02  
  1.438798578256e+00  ,-1.457917613609e+02  
  1.442115351525e+00  ,-1.459048363168e+02  
  1.445439770746e+00  ,-1.460180810075e+02  
  1.448771853545e+00  ,-1.461314953558e+02  
  1.452111617588e+00  ,-1.462450792825e+02  
  1.455459080582e+00  ,-1.463588327066e+02  
  1.458814260275e+00  ,-1.464727555460e+02  
  1.462177174457e+00  ,-1.465868477144e+02  
  1.465547840956e+00  ,-1.467011091249e+02  
  1.468926277644e+00  ,-1.468155396891e+02  
  1.472312502433e+00  ,-1.469301393158e+02  
  1.475706533276e+00  ,-1.470449079120e+02  
  1.479108388168e+00  ,-1.471598453827e+02  
  1.482518085146e+00  ,-1.472749516301e+02  
  1.485935642287e+00  ,-1.473902265548e+02  
  1.489361077711e+00  ,-1.475056700569e+02  
  1.492794409579e+00  ,-1.476212820326e+02  
  1.496235656094e+00  ,-1.477370623761e+02  
  1.499684835502e+00  ,-1.478530109808e+02  
  1.503141966090e+00  ,-1.479691277365e+02  
  1.506607066187e+00  ,-1.480854125320e+02  
  1.510080154164e+00  ,-1.482018652534e+02  
  1.513561248436e+00  ,-1.483184857857e+02  
  1.517050367459e+00  ,-1.484352740106e+02  
  1.520547529732e+00  ,-1.485522298086e+02  
  1.524052753797e+00  ,-1.486693530580e+02  
  1.527566058238e+00  ,-1.487866436342e+02  
  1.531087461682e+00  ,-1.489041014107e+02  
  1.534616982799e+00  ,-1.490217262603e+02  
  1.538154640303e+00  ,-1.491395180519e+02  
  1.541700452950e+00  ,-1.492574766527e+02  
  1.545254439538e+00  ,-1.493756019290e+02  
  1.548816618912e+00  ,-1.494938937435e+02  
  1.552387009958e+00  ,-1.496123519575e+02  
  1.555965631605e+00  ,-1.497309764297e+02  
  1.559552502827e+00  ,-1.498497670174e+02  
  1.563147642641e+00  ,-1.499687235749e+02  
  1.566751070108e+00  ,-1.500878459547e+02  
  1.570362804334e+00  ,-1.502071340076e+02  
  1.573982864466e+00  ,-1.503265875811e+02  
  1.577611269699e+00  ,-1.504462065225e+02  
  1.581248039270e+00  ,-1.505659906742e+02  
  1.584893192461e+00  ,-1.506859398787e+02  
  1.588546748598e+00  ,-1.508060539760e+02  
  1.592208727051e+00  ,-1.509263328026e+02  
  1.595879147237e+00  ,-1.510467761940e+02  
  1.599558028615e+00  ,-1.511673839836e+02  
  1.603245390690e+00  ,-1.512881560021e+02  
  1.606941253013e+00  ,-1.514090920774e+02  
  1.610645635178e+00  ,-1.515301920369e+02  
  1.614358556826e+00  ,-1.516514557043e+02  
  1.618080037643e+00  ,-1.517728829015e+02  
  1.621810097359e+00  ,-1.518944734491e+02  
  1.625548755750e+00  ,-1.520162271643e+02  
  1.629296032640e+00  ,-1.521381438619e+02  
  1.633051947894e+00  ,-1.522602233557e+02  
  1.636816521428e+00  ,-1.523824654576e+02  
  1.640589773200e+00  ,-1.525048699742e+02  
  1.644371723215e+00  ,-1.526274367136e+02  
  1.648162391525e+00  ,-1.527501654797e+02  
  1.651961798229e+00  ,-1.528730560746e+02  
  1.655769963470e+00  ,-1.529961082987e+02  
  1.659586907438e+00  ,-1.531193219487e+02  
  1.663412650370e+00  ,-1.532426968204e+02  
  1.667247212551e+00  ,-1.533662327066e+02  
  1.671090614311e+00  ,-1.534899293989e+02  
  1.674942876026e+00  ,-1.536137866856e+02  
  1.678804018123e+00  ,-1.537378043525e+02  
  1.682674061070e+00  ,-1.538619821855e+02  
  1.686553025389e+00  ,-1.539863199647e+02  
  1.690440931643e+00  ,-1.541108174706e+02  
  1.694337800447e+00  ,-1.542354744810e+02  
  1.698243652462e+00  ,-1.543602907703e+02  
  1.702158508395e+00  ,-1.544852661119e+02  
  1.706082389003e+00  ,-1.546104002770e+02  
  1.710015315090e+00  ,-1.547356930323e+02  
  1.713957307508e+00  ,-1.548611441461e+02  
  1.717908387158e+00  ,-1.549867533807e+02  
  1.721868574986e+00  ,-1.551125204990e+02  
  1.725837891990e+00  ,-1.552384452586e+02  
  1.729816359215e+00  ,-1.553645274186e+02  
  1.733803997754e+00  ,-1.554907667324e+02  
  1.737800828749e+00  ,-1.556171629537e+02  
  1.741806873392e+00  ,-1.557437158319e+02  
  1.745822152920e+00  ,-1.558704251159e+02  
  1.749846688625e+00  ,-1.559972905511e+02  
  1.753880501842e+00  ,-1.561243118809e+02  
  1.757923613959e+00  ,-1.562514888465e+02  
  1.761976046412e+00  ,-1.563788211872e+02  
  1.766037820686e+00  ,-1.565063086396e+02  
  1.770108958317e+00  ,-1.566339509387e+02  
  1.774189480890e+00  ,-1.567617478164e+02  
  1.778279410039e+00  ,-1.568896990016e+02  
  1.782378767448e+00  ,-1.570178042240e+02  
  1.786487574852e+00  ,-1.571460632070e+02  
  1.790605854035e+00  ,-1.572744756756e+02  
  1.794733626833e+00  ,-1.574030413494e+02  
  1.798870915129e+00  ,-1.575317599479e+02  
  1.803017740860e+00  ,-1.576606311864e+02  
  1.807174126011e+00  ,-1.577896547790e+02  
  1.811340092620e+00  ,-1.579188304393e+02  
  1.815515662773e+00  ,-1.580481578755e+02  
  1.819700858610e+00  ,-1.581776367946e+02  
  1.823895702320e+00  ,-1.583072669032e+02  
  1.828100216143e+00  ,-1.584370479030e+02  
  1.832314422371e+00  ,-1.585669794945e+02  
  1.836538343348e+00  ,-1.586970613762e+02  
  1.840772001469e+00  ,-1.588272932448e+02  
  1.845015419179e+00  ,-1.589576747929e+02  
  1.849268618978e+00  ,-1.590882057137e+02  
  1.853531623415e+00  ,-1.592188856951e+02  
  1.857804455092e+00  ,-1.593497144254e+02  
  1.862087136663e+00  ,-1.594806915887e+02  
  1.866379690835e+00  ,-1.596118168670e+02  
  1.870682140366e+00  ,-1.597430899417e+02  
  1.874994508067e+00  ,-1.598745104914e+02  
  1.879316816803e+00  ,-1.600060781902e+02  
  1.883649089490e+00  ,-1.601377927132e+02  
  1.887991349096e+00  ,-1.602696537317e+02  
  1.892343618645e+00  ,-1.604016609154e+02  
  1.896705921211e+00  ,-1.605338139303e+02  
  1.901078279923e+00  ,-1.606661124423e+02  
  1.905460717963e+00  ,-1.607985561132e+02  
  1.909853258566e+00  ,-1.609311446028e+02  
  1.914255925021e+00  ,-1.610638775705e+02  
  1.918668740670e+00  ,-1.611967546728e+02  
  1.923091728910e+00  ,-1.613297755627e+02  
