  Frequency            , dB( V(Vs5)/ V(Ve))   , dB( V(Vs3)/ V(Ve))   
  1.207813835107e+00  ,-8.734990626167e+01  ,-4.785646741601e+01  
  1.210598133550e+00  ,-8.723846924499e+01  ,-4.778215110123e+01  
  1.213388850465e+00  ,-8.712706604737e+01  ,-4.770785727038e+01  
  1.216186000646e+00  ,-8.701569677981e+01  ,-4.763358599719e+01  
  1.218989598925e+00  ,-8.690436155364e+01  ,-4.755933735626e+01  
  1.221799660165e+00  ,-8.679306047996e+01  ,-4.748511142167e+01  
  1.224616199265e+00  ,-8.668179367017e+01  ,-4.741090826786e+01  
  1.227439231158e+00  ,-8.657056123643e+01  ,-4.733672796953e+01  
  1.230268770812e+00  ,-8.645936328984e+01  ,-4.726257060112e+01  
  1.233104833229e+00  ,-8.634819994301e+01  ,-4.718843623758e+01  
  1.235947433445e+00  ,-8.623707130792e+01  ,-4.711432495385e+01  
  1.238796586530e+00  ,-8.612597749733e+01  ,-4.704023682503e+01  
  1.241652307592e+00  ,-8.601491862328e+01  ,-4.696617192627e+01  
  1.244514611771e+00  ,-8.590389479908e+01  ,-4.689213033291e+01  
  1.247383514243e+00  ,-8.579290613711e+01  ,-4.681811212025e+01  
  1.250259030218e+00  ,-8.568195275091e+01  ,-4.674411736394e+01  
  1.253141174941e+00  ,-8.557103475306e+01  ,-4.667014613928e+01  
  1.256029963695e+00  ,-8.546015225786e+01  ,-4.659619852254e+01  
  1.258925411794e+00  ,-8.534930537829e+01  ,-4.652227458927e+01  
  1.261827534591e+00  ,-8.523849422844e+01  ,-4.644837441551e+01  
  1.264736347471e+00  ,-8.512771892236e+01  ,-4.637449807767e+01  
  1.267651865858e+00  ,-8.501697957354e+01  ,-4.630064565136e+01  
  1.270574105209e+00  ,-8.490627629689e+01  ,-4.622681721349e+01  
  1.273503081017e+00  ,-8.479560920620e+01  ,-4.615301284010e+01  
  1.276438808811e+00  ,-8.468497841678e+01  ,-4.607923260799e+01  
  1.279381304158e+00  ,-8.457438404290e+01  ,-4.600547659377e+01  
  1.282330582656e+00  ,-8.446382619950e+01  ,-4.593174487418e+01  
  1.285286659944e+00  ,-8.435330500152e+01  ,-4.585803752597e+01  
  1.288249551693e+00  ,-8.424282056446e+01  ,-4.578435462626e+01  
  1.291219273614e+00  ,-8.413237300345e+01  ,-4.571069625217e+01  
  1.294195841450e+00  ,-8.402196243410e+01  ,-4.563706248074e+01  
  1.297179270984e+00  ,-8.391158897203e+01  ,-4.556345338946e+01  
  1.300169578033e+00  ,-8.380125273306e+01  ,-4.548986905553e+01  
  1.303166778452e+00  ,-8.369095383289e+01  ,-4.541630955653e+01  
  1.306170888132e+00  ,-8.358069238807e+01  ,-4.534277497007e+01  
  1.309181922999e+00  ,-8.347046851454e+01  ,-4.526926537374e+01  
  1.312199899019e+00  ,-8.336028232876e+01  ,-4.519578084546e+01  
  1.315224832192e+00  ,-8.325013394714e+01  ,-4.512232146307e+01  
  1.318256738556e+00  ,-8.314002348639e+01  ,-4.504888730450e+01  
  1.321295634187e+00  ,-8.302995106320e+01  ,-4.497547844781e+01  
  1.324341535195e+00  ,-8.291991679485e+01  ,-4.490209497137e+01  
  1.327394457730e+00  ,-8.280992079806e+01  ,-4.482873695336e+01  
  1.330454417978e+00  ,-8.269996319018e+01  ,-4.475540447203e+01  
  1.333521432163e+00  ,-8.259004408826e+01  ,-4.468209760575e+01  
  1.336595516546e+00  ,-8.248016361018e+01  ,-4.460881643329e+01  
  1.339676687426e+00  ,-8.237032187324e+01  ,-4.453556103322e+01  
  1.342764961138e+00  ,-8.226051899512e+01  ,-4.446233148419e+01  
  1.345860354056e+00  ,-8.215075509400e+01  ,-4.438912786512e+01  
  1.348962882592e+00  ,-8.204103028736e+01  ,-4.431595025477e+01  
  1.352072563194e+00  ,-8.193134469337e+01  ,-4.424279873203e+01  
  1.355189412351e+00  ,-8.182169843054e+01  ,-4.416967337622e+01  
  1.358313446587e+00  ,-8.171209161657e+01  ,-4.409657426608e+01  
  1.361444682466e+00  ,-8.160252437041e+01  ,-4.402350148108e+01  
  1.364583136589e+00  ,-8.149299681028e+01  ,-4.395045510054e+01  
  1.367728825596e+00  ,-8.138350905491e+01  ,-4.387743520371e+01  
  1.370881766165e+00  ,-8.127406122343e+01  ,-4.380444187030e+01  
  1.374041975013e+00  ,-8.116465343398e+01  ,-4.373147517936e+01  
  1.377209468894e+00  ,-8.105528580581e+01  ,-4.365853521076e+01  
  1.380384264603e+00  ,-8.094595845810e+01  ,-4.358562204431e+01  
  1.383566378972e+00  ,-8.083667151009e+01  ,-4.351273575943e+01  
  1.386755828872e+00  ,-8.072742508055e+01  ,-4.343987643609e+01  
  1.389952631213e+00  ,-8.061821928952e+01  ,-4.336704415425e+01  
  1.393156802945e+00  ,-8.050905425593e+01  ,-4.329423899373e+01  
  1.396368361056e+00  ,-8.039993009931e+01  ,-4.322146103448e+01  
  1.399587322573e+00  ,-8.029084693950e+01  ,-4.314871035664e+01  
  1.402813704562e+00  ,-8.018180489628e+01  ,-4.307598704048e+01  
  1.406047524130e+00  ,-8.007280408944e+01  ,-4.300329116612e+01  
  1.409288798422e+00  ,-7.996384463878e+01  ,-4.293062281382e+01  
  1.412537544623e+00  ,-7.985492666417e+01  ,-4.285798206385e+01  
  1.415793779957e+00  ,-7.974605028582e+01  ,-4.278536899669e+01  
  1.419057521689e+00  ,-7.963721562394e+01  ,-4.271278369258e+01  
  1.422328787123e+00  ,-7.952842279857e+01  ,-4.264022623222e+01  
  1.425607593602e+00  ,-7.941967193003e+01  ,-4.256769669632e+01  
  1.428893958511e+00  ,-7.931096313870e+01  ,-4.249519516495e+01  
